causas_2,Edad,Total,Hombres,Mujeres,porc_total,porc_hombres,porc_mujeres
Causas externas de mortalidad,De 1 a 4 años,45,35,10,23.936170212766,29.9145299145299,14.0845070422535
Causas externas de mortalidad,De 10 a 14 años,43,24,19,22.7513227513227,22.0183486238532,23.75
Causas externas de mortalidad,De 15 a 19 años,153,111,42,40.3693931398417,45.8677685950413,30.6569343065693
Causas externas de mortalidad,De 20 a 24 años,307,255,52,50.4105090311987,55.6768558951965,34.4370860927152
Causas externas de mortalidad,De 25 a 29 años,418,327,91,50.7897934386391,56.3793103448276,37.4485596707819
Causas externas de mortalidad,De 30 a 34 años,513,439,74,41.9117647058824,51.7688679245283,19.6808510638298
Causas externas de mortalidad,De 35 a 39 años,620,487,133,32.0413436692506,38.96,19.4160583941606
Causas externas de mortalidad,De 40 a 44 años,869,688,181,24.437570303712,30.2683677958645,14.1075604053001
Causas externas de mortalidad,De 45 a 49 años,937,754,183,15.5004135649297,19.2740286298569,8.57946554149086
Causas externas de mortalidad,De 5 a 9 años,19,12,7,13.6690647482014,17.910447761194,9.72222222222222
Causas externas de mortalidad,De 50 a 54 años,1060,821,239,10.2030994320916,11.8830510927775,6.86781609195402
Causas externas de mortalidad,De 55 a 59 años,980,736,244,6.18413579857386,6.97828766473879,4.60377358490566
Causas externas de mortalidad,De 60 a 64 años,862,647,215,3.92406792006191,4.35397039030956,3.02518643590826
Causas externas de mortalidad,De 65 a 69 años,793,580,213,2.87986635676932,3.0982905982906,2.41606170598911
Causas externas de mortalidad,De 70 a 74 años,986,683,303,2.54018961253092,2.67402709263174,2.28265782733163
Causas externas de mortalidad,De 75 a 79 años,1094,702,392,2.08878281622912,2.18127582885374,1.94136291600634
Causas externas de mortalidad,De 80 a 84 años,1589,909,680,2.14599230197853,2.31822702812986,1.95211574898088
Causas externas de mortalidad,De 85 a 89 años,2175,1066,1109,2.02525280741941,2.19540324573688,1.88483633026276
Causas externas de mortalidad,De 90 a 94 años,1731,682,1049,1.9854560469811,2.157818135797,1.88743747525999
Causas externas de mortalidad,De 95 años y más,857,284,573,2.02859442314065,2.54070495616389,1.84434144457319
Causas externas de mortalidad,Menores de 1 año,27,15,12,3.03370786516854,3.0241935483871,3.04568527918782
Causas externas de mortalidad,Todas las edades,16078,10257,5821,3.25613233530994,4.10832158420918,2.38456118502982
Enfermedades del sistema circulatorio,De 1 a 4 años,8,7,1,4.25531914893617,5.98290598290598,1.40845070422535
Enfermedades del sistema circulatorio,De 10 a 14 años,8,5,3,4.23280423280423,4.58715596330275,3.75
Enfermedades del sistema circulatorio,De 15 a 19 años,28,16,12,7.38786279683377,6.61157024793388,8.75912408759124
Enfermedades del sistema circulatorio,De 20 a 24 años,33,25,8,5.41871921182266,5.45851528384279,5.29801324503311
Enfermedades del sistema circulatorio,De 25 a 29 años,70,43,27,8.50546780072904,7.41379310344828,11.1111111111111
Enfermedades del sistema circulatorio,De 30 a 34 años,124,92,32,10.1307189542484,10.8490566037736,8.51063829787234
Enfermedades del sistema circulatorio,De 35 a 39 años,298,214,84,15.4005167958656,17.12,12.2627737226277
Enfermedades del sistema circulatorio,De 40 a 44 años,592,439,153,16.6479190101237,19.313682358117,11.925175370226
Enfermedades del sistema circulatorio,De 45 a 49 años,1151,873,278,19.04052936311,22.3159509202454,13.033286451008
